UserID,ps,ngo,UserID,po,ngs,ActiveInterests,Travelling
10204639562222000,41.0,3.0,10204639562222000,211.0,16.0,Travelling,1.0
10204708371736600,10.0,6.0,10204708371736600,206.0,1.0,Travelling,1.0
10204796008533800,16.0,1.0,10204796008533800,27.0,4.0,Travelling,1.0
10204874198806400,7.0,2.0,10204874198806400,104.0,2.0,Travelling,1.0
10204900802752300,34.0,11.0,10204900802752300,141.0,8.0,Travelling,1.0
10204926758227500,9.0,6.0,10204926758227500,35.0,1.0,Travelling,1.0
10205269628886100,128.0,8.0,10205269628886100,170.0,23.0,Travelling,1.0
10205290986207700,13.0,1.0,10205290986207700,220.0,3.0,Travelling,1.0
10205335955062200,3.0,0.0,10205335955062200,190.0,0.0,Travelling,1.0
10205450064599000,59.0,11.0,10205450064599000,235.0,5.0,Travelling,1.0
10205459506060800,9.0,1.0,10205459506060800,242.0,0.0,Travelling,1.0
10205520507705500,17.0,0.0,10205520507705500,29.0,0.0,Travelling,1.0
10205587923356600,14.0,11.0,10205587923356600,85.0,2.0,Travelling,1.0
10205626791170400,4.0,0.0,10205626791170400,72.0,1.0,Travelling,1.0
10205688276112500,22.0,3.0,10205688276112500,255.0,2.0,Travelling,1.0
10205786694055800,41.0,1.0,10205786694055800,74.0,5.0,Travelling,1.0
10205818428323700,23.0,6.0,10205818428323700,153.0,5.0,Travelling,1.0
10205826902139100,35.0,0.0,10205826902139100,248.0,1.0,Travelling,1.0
10205906080151600,41.0,4.0,10205906080151600,38.0,2.0,Travelling,1.0
10206020846304400,9.0,2.0,10206020846304400,50.0,0.0,Travelling,1.0
10206149754736700,0.0,1.0,10206149754736700,231.0,0.0,Travelling,1.0
10206372070970300,5.0,2.0,10206372070970300,36.0,1.0,Travelling,1.0
10206484920196200,3.0,0.0,10206484920196200,184.0,1.0,Travelling,1.0
10206606597585300,19.0,0.0,10206606597585300,182.0,0.0,Travelling,1.0
10206685530166700,2.0,0.0,10206685530166700,155.0,0.0,Travelling,1.0
10206734256065400,67.0,24.0,10206734256065400,236.0,18.0,Travelling,1.0
10207107469022400,20.0,1.0,10207107469022400,113.0,3.0,Travelling,1.0
10207570791251700,77.0,9.0,10207570791251700,204.0,10.0,Travelling,1.0
10207613687958400,17.0,5.0,10207613687958400,185.0,0.0,Travelling,1.0
102076416844626,2.0,1.0,102076416844626,118.0,1.0,Travelling,1.0
115002998860375,0.0,0.0,115002998860375,170.0,0.0,Travelling,1.0
115700118808474,13.0,3.0,115700118808474,19.0,0.0,Travelling,1.0
133020890416060,36.0,0.0,133020890416060,88.0,0.0,Travelling,1.0
133509177005477,21.0,0.0,133509177005477,25.0,0.0,Travelling,1.0
137079110018711,26.0,0.0,137079110018711,25.0,0.0,Travelling,1.0
139132726436290,17.0,2.0,139132726436290,157.0,0.0,Travelling,1.0
145151905852516,72.0,1.0,145151905852516,94.0,0.0,Travelling,1.0
157121881316629,9.0,3.0,157121881316629,49.0,1.0,Travelling,1.0
165131577204183,25.0,3.0,165131577204183,40.0,1.0,Travelling,1.0
177641775905982,29.0,2.0,177641775905982,284.0,0.0,Travelling,1.0
185940495124911,33.0,1.0,185940495124911,209.0,0.0,Travelling,1.0
190021491373558,15.0,2.0,190021491373558,308.0,0.0,Travelling,1.0
192147904481633,53.0,1.0,192147904481633,86.0,1.0,Travelling,1.0
192465567786356,22.0,1.0,192465567786356,39.0,2.0,Travelling,1.0
208948656155533,27.0,7.0,208948656155533,145.0,6.0,Travelling,1.0
218117365231288,8.0,2.0,218117365231288,51.0,1.0,Travelling,1.0
228919927449407,21.0,0.0,228919927449407,64.0,4.0,Travelling,1.0
247207385465731,7.0,0.0,247207385465731,76.0,0.0,Travelling,1.0
249064522110727,5.0,0.0,249064522110727,167.0,0.0,Travelling,1.0
251985404985029,1.0,0.0,251985404985029,191.0,0.0,Travelling,1.0
292474547629506,27.0,2.0,292474547629506,159.0,1.0,Travelling,1.0
311279699078991,25.0,0.0,311279699078991,49.0,2.0,Travelling,1.0
320992568087569,10.0,0.0,320992568087569,149.0,1.0,Travelling,1.0
328470497361699,112.0,8.0,328470497361699,121.0,13.0,Travelling,1.0
330286663795289,5.0,1.0,330286663795289,48.0,0.0,Travelling,1.0
