,PostTextPolarity,PostTextSubjectivity,cluster
81,0.0,0.0,0
82,0.520833333333,0.683333333333,1
83,0.0,0.9,3
84,0.716666666667,0.916666666667,4
85,0.117578125,0.660416666667,3
86,0.0,0.0,0
87,0.0,0.95,3
88,0.260416666667,0.166666666667,2
89,0.5125,0.8,1
90,0.213068181818,0.454545454545,2
91,0.0,0.3,2
92,1.0,1.0,4
93,0.25,0.5625,2
94,1.0,0.75,4
95,0.0,0.0,0
96,0.0,0.0,0
97,0.625,1.0,4
98,0.2,0.3,2
99,0.0,0.0,0
100,0.25,1.0,1
101,1.0,1.0,4
102,0.5,0.7,1
103,0.490625,0.5,1
104,0.0772727272727,0.718181818182,3
105,-0.0222222222222,0.611111111111,3
106,0.565625,0.625,1
107,0.0,0.0,0
108,0.0,0.0,0
109,0.0,0.0,0
110,0.102777777778,0.547222222222,3
111,0.0,0.0,0
112,0.0,0.0,0
113,0.366666666667,0.5,1
114,0.0,0.0,0
115,0.0,0.0,0
116,0.5,0.5,1
117,0.0,0.0,0
118,0.0,0.0,0
119,0.0,0.0,0
120,0.0,0.0,0
121,0.2,0.2,2
122,1.0,0.45,4
123,0.0,0.0,0
124,0.0,0.0,0
125,0.0,0.0,0
126,1.0,1.0,4
127,0.0,0.0,0
128,0.0,0.0,0
129,0.0,0.0,0
130,0.0,0.0,0
131,0.0,0.0,0
132,0.625,0.75,1
133,0.0,0.0,0
134,0.0,0.0,0
135,0.128472222222,0.513888888889,2
136,0.0,0.0,0
137,0.05,0.2,0
138,0.05,0.2,0
139,0.5,0.888888888889,1
140,0.0119047619048,0.641534391534,3
141,0.9375,1.0,4
142,0.1953125,0.4,2
143,0.0,0.0,0
144,0.528571428571,0.567857142857,1
145,0.0,0.0,0
146,0.19,0.55,2
147,0.45517578125,0.277777777778,2
148,0.0,0.0,0
149,0.0,0.0,0
150,0.0,0.0,0
151,0.0,0.0,0
152,0.125,1.0,3
153,0.0,0.0,0
154,0.8,0.7,4
155,0.0,0.0,0
156,0.0,0.0,0
157,0.7,0.6,1
158,0.0,0.0,0
159,0.318181818182,0.527272727273,2
160,0.0,0.0,0
161,0.123579545455,0.549147727273,3
162,0.56875,0.845,1
163,0.0,0.0,0
164,0.0,0.0,0
165,0.395833333333,0.585416666667,1
166,-0.9375,0.95,5
167,0.0,0.0,0
168,0.0,0.0,0
169,0.497222222222,0.555555555556,1
170,-0.291925603693,0.677272727273,3
171,0.0,0.0,0
172,0.486941964286,0.417857142857,1
173,0.0,0.0,0
174,0.0,0.0,0
175,1.0,0.7,4
176,0.5,0.55,1
177,0.358522727273,0.577272727273,1
178,-0.8,0.9,5
179,0.0,0.0,0
180,0.0,0.0,0
181,0.0,0.0,0
182,0.0,0.0,0
183,0.0,0.0,0
184,0.0,0.0,0
185,0.0,0.0,0
186,0.0,0.0,0
187,0.375,0.1,2
188,0.5,0.5,1
189,0.488888888889,0.57037037037,1
190,0.85,1.0,4
191,0.2,0.5,2
192,0.0,0.0,0
193,0.0,0.0,0
194,0.00595238095238,0.577380952381,3
195,0.0,0.0,0
196,0.0,0.0,0
197,0.0734848484848,0.481144781145,3
198,0.0,0.0,0
199,0.0,0.0,0
200,0.335227272727,0.414772727273,2
201,0.0,0.0,0
202,0.65,0.55,1
203,0.0,0.0,0
204,0.0,0.0,0
205,0.485227272727,0.559090909091,1
206,1.0,0.3,4
207,0.0,0.15,0
208,0.25,0.3,2
209,0.52,1.0,1
210,0.8,0.7,4
211,0.0,0.0,0
212,0.0,0.0,0
213,0.0,0.0,0
